 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
30,3407.394,15448.855,2813.052,9776,24351,128.315,466.703,130.778,465.750,206.908,95.385,433.773,65.861,65.861,1.000,1.000,1.000,1.001
31,8854.705,14344.252,4202.678,4073,27678,525.656,120.839,522.521,118.050,333.550,472.570,67.753,106.172,106.172,1.000,1.000,1.000,1.000
32,2334.157,17192.668,3366.234,10111,27678,523.480,119.799,521.839,118.240,171.234,496.227,92.546,54.506,54.506,1.000,1.000,1.000,1.000
33,5722.246,14473.865,3302.274,5018,25186,359.301,165.125,357.804,166.543,268.148,316.624,122.448,85.354,85.354,1.000,1.000,1.000,1.001
34,1647.893,15548.183,3133.648,9457,24640,359.396,164.652,358.436,166.321,143.884,336.496,141.752,45.800,45.800,1.000,1.000,1.000,1.001
35,5397.417,13596.763,3314.740,4909,27744,191.337,41.447,191.207,42.179,260.419,149.890,0.000,82.894,82.894,1.000,1.000,1.000,1.001
36,1675.974,14498.707,2369.913,8934,22818,190.769,43.718,191.904,44.804,145.073,167.680,20.629,46.178,46.178,1.000,1.000,1.000,1.001
37,4882.934,14148.046,3070.541,5843,24259,274.325,35.070,273.485,34.617,252.689,234.109,0.000,80.433,73.810,0.961,1.069,0.936,0.961
38,1276.143,13952.231,2210.189,9395,21386,274.325,34.728,273.722,35.206,126.642,254.170,14.573,40.311,40.311,1.000,1.000,1.000,0.999
39,6782.445,15539.319,4561.850,3460,32735,197.677,338.483,197.424,335.846,291.930,151.215,292.021,92.924,92.924,1.000,1.000,1.000,1.000
40,2127.884,15521.532,2309.930,8765,24966,197.677,340.186,197.271,339.067,163.505,171.654,314.164,52.045,52.045,1.000,1.000,1.000,1.000
41,5798.573,13284.949,2758.117,3336,22574,405.574,338.578,405.865,338.774,269.932,362.613,295.617,85.922,85.922,1.000,1.000,1.000,1.000
42,1553.944,14761.945,1592.056,9065,21937,405.479,337.915,406.057,338.282,139.722,383.242,315.678,44.475,44.475,1.000,1.000,1.000,1.000
43,616.062,18262.106,5967.051,6686,31418,548.083,234.298,546.589,233.591,87.995,534.078,220.293,28.010,28.010,1.000,1.000,1.000,1.001
44,171.638,20352.797,5388.899,10106,31172,548.462,234.487,547.581,234.161,46.376,541.081,227.106,14.762,14.762,1.000,1.000,1.000,1.004
45,684.688,16392.813,3405.849,5673,25042,610.159,328.926,610.627,329.396,92.752,595.397,314.164,29.524,29.524,1.000,1.000,1.000,0.999
46,213.365,18192.577,1687.418,12333,23087,609.686,329.020,609.838,329.230,51.727,601.453,320.788,16.465,16.465,1.000,1.000,1.000,1.001
47,3830.793,12559.153,2867.239,4473,22924,570.699,372.549,572.549,372.236,219.394,535.782,337.631,69.835,69.835,1.000,1.000,1.000,1.000
48,921.979,10713.082,2070.775,6578,16355,569.185,369.899,570.475,370.096,107.616,552.057,352.772,34.255,34.255,1.000,1.000,1.000,1.000
49,1137.458,11556.483,2109.719,5668,19249,534.551,414.374,535.405,414.591,119.507,515.531,395.354,38.040,38.040,1.000,1.000,1.000,1.001
50,359.214,10817.771,1531.046,7621,16157,534.551,413.807,535.009,414.077,67.186,523.858,403.114,21.386,21.386,1.000,1.000,1.000,1.007
51,304.163,8389.464,1586.301,4963,16666,519.884,432.259,519.742,431.959,61.835,510.043,422.418,19.683,19.683,1.000,1.000,1.000,0.998
52,76.220,7992.235,823.929,5472,10341,520.263,433.773,520.116,433.860,30.917,515.342,428.852,9.841,9.841,1.000,1.000,1.000,0.998
